Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
1,BFSG,245,37,0.001000,0.113281
2,BFSG,426,66,0.002002,0.160156
3,BFSG,1340,81,0.007512,0.285156
4,BFSG,791,71,0.003000,0.292969
5,BFSG,3373,138,0.014091,0.667969
6,BFSG,9117,157,0.043288,1.218750
7,BFSG,1252,75,0.005478,1.218750
8,BFSG,6008,133,0.029592,1.222656
9,BFSG,726,95,0.002525,1.222656
10,BFSG,2193,116,0.010524,1.222656
11,BFSG,968,84,0.004004,1.222656
12,BFSG,5724,150,0.031611,1.226562
13,BFSG,3515,106,0.018037,1.242188
14,BFSG,29280,207,0.182925,3.757812
15,BFSG,2528,98,0.009528,3.765625
16,BFSG,3866,134,0.019063,3.765625
17,BFSG,756,69,0.003509,3.765625
18,BFSG,6393,138,0.027665,3.765625
19,BFSG,2858,90,0.012227,3.765625
20,BFSG,14391,117,0.062238,3.769531
21,BFSG,3965,93,0.015576,3.769531
22,BFSG,9440,125,0.040572,3.769531
23,BFSG,6412,157,0.032368,3.769531
24,BFSG,48657,253,0.366374,8.968750
25,BFSG,2083,93,0.009507,4.886719
26,BFSG,7945,145,0.041550,5.062500
27,BFSG,3391,115,0.015092,5.132812
28,BFSG,25336,225,0.120209,5.582031
29,BFSG,1760,76,0.008510,5.589844
30,BFSG,32348,302,0.170186,6.113281
31,BFSG,620,80,0.002991,6.113281
32,BFSG,1253,95,0.005368,6.113281
33,BFSG,3613,94,0.015528,6.113281
34,BFSG,5260,133,0.025118,6.113281
35,BFSG,1628,88,0.008072,6.113281
36,BFSG,2567,78,0.012514,6.113281
37,BFSG,3154,134,0.016073,6.128906
38,BFSG,813,54,0.003514,6.128906
39,BFSG,4218,116,0.021038,6.128906
40,BFSG,1379,92,0.006516,6.128906
