Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
1,BFSG,245,37,0.001006,0.156250
2,BFSG,426,66,0.002011,0.207031
3,BFSG,1340,81,0.006011,0.292969
4,BFSG,791,71,0.002999,0.300781
5,BFSG,3373,138,0.014147,0.644531
6,BFSG,9117,157,0.040997,1.171875
7,BFSG,1252,75,0.005987,1.171875
8,BFSG,6008,133,0.029011,1.179688
9,BFSG,726,95,0.002998,1.179688
10,BFSG,2193,116,0.011000,1.179688
11,BFSG,968,84,0.004003,1.179688
12,BFSG,5724,150,0.029001,1.183594
13,BFSG,3515,106,0.015997,1.183594
14,BFSG,29280,207,0.182973,3.609375
15,BFSG,2528,98,0.011207,3.609375
16,BFSG,3866,134,0.019005,3.609375
17,BFSG,756,69,0.003006,3.609375
18,BFSG,6393,138,0.027058,3.609375
19,BFSG,2858,90,0.010030,3.609375
20,BFSG,14391,117,0.061940,4.113281
21,BFSG,3965,93,0.015161,4.113281
22,BFSG,9440,125,0.039010,4.113281
23,BFSG,6412,157,0.028003,4.113281
24,BFSG,48657,253,0.347144,8.886719
25,BFSG,2083,93,0.008099,4.777344
26,BFSG,7945,145,0.037172,4.890625
27,BFSG,3391,115,0.014018,4.921875
28,BFSG,25336,225,0.124231,5.398438
29,BFSG,1760,76,0.007031,5.406250
30,BFSG,32348,302,0.173064,5.902344
31,BFSG,620,80,0.002929,5.902344
32,BFSG,1253,95,0.004999,5.902344
33,BFSG,3613,94,0.015998,5.902344
34,BFSG,5260,133,0.023068,5.902344
35,BFSG,1628,88,0.008998,5.902344
36,BFSG,2567,78,0.012185,5.902344
37,BFSG,3154,134,0.015984,5.902344
38,BFSG,813,54,0.004000,5.902344
39,BFSG,4218,116,0.020078,5.902344
40,BFSG,1379,92,0.006257,5.902344
40,BFSG,1379,92,0.006257,5.902344
